periodo;edades;Hombres;Mujeres;fuente
1911;73;-19708;19454;HMD
1911;74;-22224;23144;HMD
1911;75;-22257;24569;HMD
1911;76;-17696;20278;HMD
1911;77;-13332;13656;HMD
1911;78;-14499;16341;HMD
1911;79;-7895;8924;HMD
1911;80;-13140.75;19155.73;HMD
1911;81;-11187.43;15733.57;HMD
1911;82;-9509.2199999999993;13665.200000000001;HMD
1911;83;-7902.1400000000003;11644.32;HMD
1911;84;-6527.3800000000001;10022.940000000001;HMD
1911;85;-5104.9399999999996;8212.3700000000008;HMD
1911;86;-4025.79;6704.5900000000001;HMD
1911;87;-3112.3200000000002;5429.0900000000001;HMD
1911;88;-2366.8800000000001;4399.6800000000003;HMD
1911;89;-1846.1099999999999;3622.6999999999998;HMD
1911;90;-1420.1600000000001;2811.3899999999999;HMD
1911;91;-1021.36;2023.96;HMD
1911;92;-785.02999999999997;1611.72;HMD
1911;93;-570.51999999999998;1257.8699999999999;HMD
1911;94;-431.97000000000003;1037.23;HMD
1911;95;-317.89999999999998;796.98000000000002;HMD
1911;96;-216.71000000000001;532.21000000000004;HMD
1911;97;-133.66999999999999;340.30000000000001;HMD
1911;98;-78.620000000000005;227.84999999999999;HMD
1911;99;-47.07;146.88999999999999;HMD
1911;100+;-75.920000000000002;303.22000000000003;HMD
1912;0;-291787.53999999998;270393.09999999998;HMD
1912;1;-201452.10000000001;198946.75;HMD
1912;2;-217352.79999999999;212926.32999999999;HMD
1912;3;-246950.64000000001;240859.03;HMD
1912;4;-241221.41;236916.91;HMD
1912;5;-236291.23000000001;235036.91;HMD
1912;6;-234268.76000000001;229036.60000000001;HMD
1912;7;-234900.88;235215.54000000001;HMD
1912;8;-235041.57000000001;233465.69;HMD
1912;9;-238072.17999999999;236413.92000000001;HMD
1912;10;-212340.42000000001;210638.91;HMD
1912;11;-230576.89000000001;234200.89000000001;HMD
1912;12;-192076.91;190185.17999999999;HMD
1912;13;-216211.53;218222.34;HMD
1912;14;-194405.92999999999;194974.48000000001;HMD
1912;15;-199204.89000000001;200445.48999999999;HMD
1912;16;-179512.45999999999;186184.42000000001;HMD
1912;17;-171695.17999999999;185067.51999999999;HMD
1912;18;-170457.37;175362.75;HMD
1912;19;-180603.51999999999;201372.14000000001;HMD
1912;20;-144832.70000000001;160343.39999999999;HMD
1912;21;-159693.63;204356.62;HMD
1912;22;-136611.85999999999;142653.54999999999;HMD
1912;23;-166645.54999999999;176632.60000000001;HMD
1912;24;-158576.48000000001;156453.53;HMD
1912;25;-148505.35000000001;170048.73999999999;HMD
1912;26;-148195.01999999999;167546.01000000001;HMD
1912;27;-144198.37;159615.60999999999;HMD
1912;28;-131171.60999999999;136266.20999999999;HMD
1912;29;-146660.72;165331.42000000001;HMD
1912;30;-114814.31;120553.84;HMD
1912;31;-185150.76000000001;221645.10000000001;HMD
1912;32;-96036.080000000002;97516.789999999994;HMD
1912;33;-130864.53999999999;141295.20000000001;HMD
1912;34;-117806.03999999999;120785.82000000001;HMD
1912;35;-120545.95;134290.82999999999;HMD
1912;36;-124635.78999999999;135505.76999999999;HMD
1912;37;-122342.09;139837.75;HMD
1912;38;-101067.7;107931.82000000001;HMD
1912;39;-123009.66;135860.95999999999;HMD
1912;40;-93456.889999999999;95549.179999999993;HMD
1912;41;-188751.04000000001;213633.94;HMD
1912;42;-75198.679999999993;75345.470000000001;HMD
1912;43;-108365.24000000001;113708.66;HMD
1912;44;-84955.419999999998;88127.960000000006;HMD
1912;45;-102876.00999999999;110928.72;HMD
1912;46;-118689.78;119924.57000000001;HMD
1912;47;-99056.059999999998;109019.99000000001;HMD
1912;48;-80326.139999999999;83683.960000000006;HMD
1912;49;-104783.31;115709.88;HMD
1912;50;-79400.389999999999;78801.470000000001;HMD
1912;51;-167308.64999999999;197108.67999999999;HMD
1912;52;-64536.949999999997;62307;HMD
1912;53;-85453.789999999994;90245.679999999993;HMD
1912;54;-65878.779999999999;66890.839999999997;HMD
1912;55;-76700.660000000003;89518.559999999998;HMD
1912;56;-82705.559999999998;87577.5;HMD
1912;57;-78877.809999999998;89539.160000000003;HMD
1912;58;-58350.019999999997;63171.160000000003;HMD
1912;59;-74089.460000000006;85827.070000000007;HMD
1912;60;-54158.839999999997;55087.889999999999;HMD
1912;61;-129082.2;168503.01999999999;HMD
1912;62;-46747.220000000001;46068.040000000001;HMD
1912;63;-60554.580000000002;64220.610000000001;HMD
1912;64;-48246.730000000003;49534.110000000001;HMD
1912;65;-55035.550000000003;61539.029999999999;HMD
1912;66;-55787.779999999999;62794.519999999997;HMD
1912;67;-50317.75;53389.160000000003;HMD
1912;68;-38783.07;39816.550000000003;HMD
1912;69;-43132.269999999997;50290.699999999997;HMD
1912;70;-27184.200000000001;28319.419999999998;HMD
1912;71;-63852.589999999997;81330.649999999994;HMD
1912;72;-19894.34;19326.310000000001;HMD
1912;73;-24370.450000000001;26295.57;HMD
1912;74;-17918.25;18167.029999999999;HMD
1912;75;-19764.959999999999;21064.130000000001;HMD
1912;76;-19614.349999999999;22052.610000000001;HMD
1912;77;-15658.389999999999;18430.43;HMD
1912;78;-11404.200000000001;12219.129999999999;HMD
1912;79;-12616.67;14761.25;HMD
1912;80;-12683.51;18275.099999999999;HMD
1912;81;-10842.16;15890.67;HMD
1912;82;-9707.8199999999997;14054.01;HMD
1912;83;-7991.9700000000003;11903.51;HMD
1912;84;-6468.8599999999997;9986.7399999999998;HMD
1912;85;-5122.0799999999999;8197;HMD
1912;86;-3986.0599999999999;6678.04;HMD
1912;87;-3148.8299999999999;5499.0799999999999;HMD
1912;88;-2403.8299999999999;4449.6899999999996;HMD
1912;89;-1798.8900000000001;3609.6399999999999;HMD
1912;90;-1310.45;2741.9099999999999;HMD
1912;91;-1000.26;2040.21;HMD
1912;92;-812.29999999999995;1683.4000000000001;HMD
1912;93;-588.65999999999997;1292.0899999999999;HMD
1912;94;-431.91000000000003;1006.92;HMD
1912;95;-310.63;800.00999999999999;HMD
1912;96;-217.19999999999999;579.58000000000004;HMD
1912;97;-142.09;358.07999999999998;HMD
1912;98;-83.599999999999994;216.96000000000001;HMD
1912;99;-50.100000000000001;139.15000000000001;HMD
1912;100+;-80.909999999999997;275.75999999999999;HMD
1913;0;-302049.78000000003;278562.98999999999;HMD
1913;1;-265204.01000000001;249547;HMD
1913;2;-198443.73000000001;196919.73999999999;HMD
1913;3;-212748.69;208875.56;HMD
1913;4;-243934.82999999999;238710.85000000001;HMD
1913;5;-237171.17999999999;233261.91;HMD
1913;6;-234343.35999999999;233157.57000000001;HMD
1913;7;-231340.04000000001;227483.39000000001;HMD
1913;8;-231521.79000000001;233165.32999999999;HMD
1913;9;-231709.78;231165.82999999999;HMD
1913;10;-235198.42000000001;235905.79999999999;HMD
1913;11;-207869.70000000001;208285.94;HMD
1913;12;-227111.23999999999;234883.95000000001;HMD
1913;13;-189010.85000000001;187808.63;HMD
1913;14;-213311.75;215681.32999999999;HMD
1913;15;-192176.48999999999;193452.53;HMD
1913;16;-196418.62;200051.20999999999;HMD
1913;17;-178999.14999999999;187069.22;HMD
1913;18;-170169.87;184524.95999999999;HMD
1913;19;-168376.82000000001;174250;HMD
1913;20;-178496.32000000001;199302.34;HMD
1913;21;-142694.92000000001;157737.07999999999;HMD
1913;22;-163627.13;207004.34;HMD
1913;23;-134547.10999999999;140551.5;HMD
1913;24;-164457.14999999999;174298.81;HMD
1913;25;-155551.23999999999;154451.67000000001;HMD
1913;26;-146066.79000000001;166959.66;HMD
1913;27;-147366.45999999999;165714.82000000001;HMD
1913;28;-142186.60000000001;157480.19;HMD
1913;29;-128903.44;134294.70999999999;HMD
1913;30;-144512.5;162373.59;HMD
1913;31;-113686.7;119359.21000000001;HMD
1913;32;-187008.39999999999;222077.35000000001;HMD
1913;33;-95932.759999999995;97588.440000000002;HMD
1913;34;-129972.75;140209.94;HMD
1913;35;-116026.34;119389.22;HMD
1913;36;-119547.22;133466.45999999999;HMD
1913;37;-125221.47;135657.04000000001;HMD
1913;38;-120553.72;137397.73000000001;HMD
1913;39;-100235.42999999999;106955.19;HMD
1913;40;-121440.12;133865.38;HMD
1913;41;-92367.940000000002;94275.889999999999;HMD
1913;42;-186998.88;211409.51999999999;HMD
1913;43;-75109.270000000004;75352.699999999997;HMD
1913;44;-106892.63;112092.98;HMD
1913;45;-84154.449999999997;87127.380000000005;HMD
1913;46;-101176.39999999999;109207.66;HMD
1913;47;-116985.17;118485.48;HMD
1913;48;-97740.259999999995;107496.52;HMD
1913;49;-79451.699999999997;82861.759999999995;HMD
1913;50;-102306.75999999999;112647.64999999999;HMD
1913;51;-77972.690000000002;77399.770000000004;HMD
1913;52;-164922.59;195326.20000000001;HMD
1913;53;-64219.32;62348.339999999997;HMD
1913;54;-84071.809999999998;88955.539999999994;HMD
1913;55;-65192.650000000001;66495.029999999999;HMD
1913;56;-75177.160000000003;87535.039999999994;HMD
1913;57;-81373.139999999999;86674.789999999994;HMD
1913;58;-76976.919999999998;87416.960000000006;HMD
1913;59;-57366.239999999998;62370.68;HMD
1913;60;-71025.330000000002;81986.630000000005;HMD
1913;61;-51808.150000000001;52775.260000000002;HMD
1913;62;-123502.06;161350.14999999999;HMD
1913;63;-44987.75;44807.300000000003;HMD
1913;64;-57615.800000000003;61611.650000000001;HMD
1913;65;-45545.970000000001;47034.029999999999;HMD
1913;66;-51628.860000000001;57945.910000000003;HMD
1913;67;-52831.389999999999;59905.839999999997;HMD
1913;68;-47412.150000000001;50611.529999999999;HMD
1913;69;-36957.669999999998;38200.730000000003;HMD
1913;70;-39916.110000000001;46276.510000000002;HMD
1913;71;-24907.57;25574.990000000002;HMD
1913;72;-59785.82;76791.509999999995;HMD
1913;73;-18371.860000000001;18230.959999999999;HMD
1913;74;-22363.330000000002;24640.43;HMD
1913;75;-15915.57;16436.869999999999;HMD
1913;76;-17480.240000000002;18977.759999999998;HMD
1913;77;-17485.220000000001;20212.599999999999;HMD
1913;78;-13624.879999999999;16647.549999999999;HMD
1913;79;-9942.8199999999997;11139.450000000001;HMD
1913;80;-13170.299999999999;18732.529999999999;HMD
1913;81;-10532.719999999999;15246.17;HMD
1913;82;-9512.4200000000001;14334.190000000001;HMD
1913;83;-8256.9400000000005;12398.450000000001;HMD
1913;84;-6663.8999999999996;10361.559999999999;HMD
1913;85;-5078.3500000000004;8230.0100000000002;HMD
1913;86;-4008.3299999999999;6724.4399999999996;HMD
1913;87;-3156.79;5536.25;HMD
1913;88;-2441.0100000000002;4544.7299999999996;HMD
1913;89;-1839.9300000000001;3690.7399999999998;HMD
1913;90;-1325.52;2811.0900000000001;HMD
1913;91;-956.75999999999999;2056.1799999999998;HMD
1913;92;-820.61000000000001;1731.98;HMD
1913;93;-635.24000000000001;1375.8099999999999;HMD
